Causa - CID-BR-10,UF,Obitos
. 106 Afogamento e submersões acidentais,AC,184
". 107 Exposição à fumaça, ao fogo e às chamas",AC,13
". 108 Envenen, intoxic por ou expos a subst nociv",AC,6
. 109 Lesões autoprovocadas voluntariamente,AC,524
. 110 Agressões,AC,1444
. 111 Eventos(fatos) cuja intenção é indeterminada,AC,84
. 112 Intervenções legais e operações de guerra,AC,0
. 113 Todas as outras causas externas,AC,272
001-031 ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS,AM,22528
. 001 Doenças infecciosas intestinais,AM,1013
... 003 Diarréia e gastroenterite orig infec pres,AM,861
... 004 Outras doenças infecciosas intestinais,AM,152
..... 004.1 Febres tifóide e paratifóide,AM,0
. 005-006 Tuberculose,AM,1160
... 005 Tuberculose respiratória,AM,1050
... 006 Outras tuberculoses,AM,110
. 007-015 Outras doenças bacterianas,AM,1876
... 008 Leptospirose,AM,28
... 009 Hanseníase,AM,15
... 010 Tétano,AM,14
..... 010.1 Tétano neonatal,AM,2
..... 010.3 Tétano acidental,AM,12
... 011 Difteria,AM,0
... 012 Coqueluche,AM,0
... 013 Infecção meningocócica,AM,22
... 014 Septicemia,AM,1496
... 015 Infecções com transmissão predom sexual,AM,57
. 016-023 Doenças virais,AM,2446
... 017 Raiva,AM,0
... 018 Dengue,AM,30
... 019 Febre amarela,AM,2
... 020 Out febres p/arbovírus e febr hemor virais,AM,45
... 021 Sarampo,AM,0
... 022 Hepatite viral,AM,429
... 023 Doen p/vírus da imunodefic humana (HIV),AM,1874
. 024-027 Doenças transmitidas por protozoários,AM,90
... 024 Malária,AM,55
... 025 Leishmaniose,AM,9
... 026 Doença de Chagas,AM,6
... 027 Toxoplasmose,AM,12
. 028-030 Helmintíases,AM,21
... 028 Esquistossomose,AM,1
... 029 Cisticercose,AM,0
... 030 Restante de helmintíases,AM,20
. 031 Restante algumas doenç infec e parasitárias,AM,15922
032-052 NEOPLASIAS,AM,16924
". 032 Neopl malig do lábio, cav oral e faringe",AM,429
. 033 Neoplasia maligna do esôfago,AM,352
. 034 Neoplasia maligna do estômago,AM,1913
". 035 Neoplasia maligna do cólon,reto e ânus",AM,1066
. 036 Neopl malig do fígado e vias bil intrahepát,AM,884
. 037 Neoplasia maligna do pâncreas,AM,609
. 038 Neoplasia maligna da laringe,AM,315
". 039 Neopl malig da traquéia,brônquios e pulmões",AM,1729
. 040 Neoplasia maligna da pele,AM,76
. 041 Neoplasia maligna da mama,AM,1316
. 042 Neoplasia maligna do colo do útero,AM,1690
. 043 Neopl malig de corpo e partes n/esp útero,AM,252
. 044 Neoplasia maligna do ovário,AM,311
. 045 Neoplasia maligna da próstata,AM,1124
. 046 Neoplasia maligna da bexiga,AM,193
". 047 Neopl malig mening,encéf e out partes SNC",AM,645
. 048 Linfoma não-Hodgkin,AM,189
. 049 Mieloma mult e neopl malig de plasmócitos,AM,125
. 050 Leucemia,AM,524
". 051 Neoplasias in situ, benig, comport incert",AM,329
. 052 Restante de neoplasias malignas,AM,2853
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT,AM,725
. 053 Anemias,AM,494
". 054 Rest d sangue, org hemat e alg transt imunit",AM,231
"055-057 D ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS",AM,8696
. 055 Diabetes mellitus,AM,7054
. 056 Desnutrição,AM,691
". 057 Rest doenças endócr, nutricion e metabólicas",AM,951
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS,AM,617
. 058 Transt ment e comport uso subst psicoativas,AM,530
... 058.1 Trans ment e comport devid uso álcool,AM,387
. 059 Rest transtornos mentais e comportamentais,AM,87
060-063 DOENÇAS DO SISTEMA NERVOSO,AM,2642
. 060 Meningite,AM,54
. 061 Doença de Alzheimer,AM,1136
. 062 Epilepsia,AM,337
