DATE,CODE,RAW DATE,DAY,MONTH,YEAR,VALUE ((% a.m.))
1992-07-01,PRECOS12_IPCAAB12,1992-07-01T00:00:00-03:00,1,7,1992,20.81
1992-08-01,PRECOS12_IPCAAB12,1992-08-01T00:00:00-03:00,1,8,1992,22.93
1992-09-01,PRECOS12_IPCAAB12,1992-09-01T00:00:00-03:00,1,9,1992,25.72
1992-10-01,PRECOS12_IPCAAB12,1992-10-01T00:00:00-03:00,1,10,1992,26.93
1992-11-01,PRECOS12_IPCAAB12,1992-11-01T00:00:00-03:00,1,11,1992,23.18
1992-12-01,PRECOS12_IPCAAB12,1992-12-01T00:00:00-02:00,1,12,1992,27.42
1993-01-01,PRECOS12_IPCAAB12,1993-01-01T00:00:00-02:00,1,1,1993,32.8
1993-02-01,PRECOS12_IPCAAB12,1993-02-01T00:00:00-02:00,1,2,1993,23.92
1993-03-01,PRECOS12_IPCAAB12,1993-03-01T00:00:00-03:00,1,3,1993,26.02
1993-04-01,PRECOS12_IPCAAB12,1993-04-01T00:00:00-03:00,1,4,1993,27.92
1993-05-01,PRECOS12_IPCAAB12,1993-05-01T00:00:00-03:00,1,5,1993,26.31
1993-06-01,PRECOS12_IPCAAB12,1993-06-01T00:00:00-03:00,1,6,1993,29.7
1993-07-01,PRECOS12_IPCAAB12,1993-07-01T00:00:00-03:00,1,7,1993,28.56
1993-08-01,PRECOS12_IPCAAB12,1993-08-01T00:00:00-03:00,1,8,1993,33.5
1993-09-01,PRECOS12_IPCAAB12,1993-09-01T00:00:00-03:00,1,9,1993,35.28
1993-10-01,PRECOS12_IPCAAB12,1993-10-01T00:00:00-03:00,1,10,1993,33.78
1993-11-01,PRECOS12_IPCAAB12,1993-11-01T00:00:00-03:00,1,11,1993,36.5
1993-12-01,PRECOS12_IPCAAB12,1993-12-01T00:00:00-02:00,1,12,1993,39.37
1994-01-01,PRECOS12_IPCAAB12,1994-01-01T00:00:00-02:00,1,1,1994,46.8
1994-02-01,PRECOS12_IPCAAB12,1994-02-01T00:00:00-02:00,1,2,1994,40.4
1994-03-01,PRECOS12_IPCAAB12,1994-03-01T00:00:00-03:00,1,3,1994,44.26
1994-04-01,PRECOS12_IPCAAB12,1994-04-01T00:00:00-03:00,1,4,1994,43.19
1994-05-01,PRECOS12_IPCAAB12,1994-05-01T00:00:00-03:00,1,5,1994,40.21
1994-06-01,PRECOS12_IPCAAB12,1994-06-01T00:00:00-03:00,1,6,1994,52.15
1994-07-01,PRECOS12_IPCAAB12,1994-07-01T00:00:00-03:00,1,7,1994,10.03
1994-08-01,PRECOS12_IPCAAB12,1994-08-01T00:00:00-03:00,1,8,1994,1.45
1994-09-01,PRECOS12_IPCAAB12,1994-09-01T00:00:00-03:00,1,9,1994,0.13
1994-10-01,PRECOS12_IPCAAB12,1994-10-01T00:00:00-03:00,1,10,1994,4.79
1994-11-01,PRECOS12_IPCAAB12,1994-11-01T00:00:00-03:00,1,11,1994,4.65
1994-12-01,PRECOS12_IPCAAB12,1994-12-01T00:00:00-02:00,1,12,1994,0.96
1995-01-01,PRECOS12_IPCAAB12,1995-01-01T00:00:00-02:00,1,1,1995,0.73
1995-02-01,PRECOS12_IPCAAB12,1995-02-01T00:00:00-02:00,1,2,1995,-0.06
1995-03-01,PRECOS12_IPCAAB12,1995-03-01T00:00:00-03:00,1,3,1995,1.44
1995-04-01,PRECOS12_IPCAAB12,1995-04-01T00:00:00-03:00,1,4,1995,1.99
1995-05-01,PRECOS12_IPCAAB12,1995-05-01T00:00:00-03:00,1,5,1995,0.51
1995-06-01,PRECOS12_IPCAAB12,1995-06-01T00:00:00-03:00,1,6,1995,-0.25
1995-07-01,PRECOS12_IPCAAB12,1995-07-01T00:00:00-03:00,1,7,1995,0.98
1995-08-01,PRECOS12_IPCAAB12,1995-08-01T00:00:00-03:00,1,8,1995,0.57
1995-09-01,PRECOS12_IPCAAB12,1995-09-01T00:00:00-03:00,1,9,1995,-0.03
1995-10-01,PRECOS12_IPCAAB12,1995-10-01T00:00:00-03:00,1,10,1995,0.32
1995-11-01,PRECOS12_IPCAAB12,1995-11-01T00:00:00-03:00,1,11,1995,1.07
1995-12-01,PRECOS12_IPCAAB12,1995-12-01T00:00:00-02:00,1,12,1995,0.86
1996-01-01,PRECOS12_IPCAAB12,1996-01-01T00:00:00-02:00,1,1,1996,1.28
1996-02-01,PRECOS12_IPCAAB12,1996-02-01T00:00:00-02:00,1,2,1996,0.11
1996-03-01,PRECOS12_IPCAAB12,1996-03-01T00:00:00-03:00,1,3,1996,-0.02
1996-04-01,PRECOS12_IPCAAB12,1996-04-01T00:00:00-03:00,1,4,1996,0.5
1996-05-01,PRECOS12_IPCAAB12,1996-05-01T00:00:00-03:00,1,5,1996,0.67
1996-06-01,PRECOS12_IPCAAB12,1996-06-01T00:00:00-03:00,1,6,1996,0.67
1996-07-01,PRECOS12_IPCAAB12,1996-07-01T00:00:00-03:00,1,7,1996,0.52
1996-08-01,PRECOS12_IPCAAB12,1996-08-01T00:00:00-03:00,1,8,1996,-0.68
1996-09-01,PRECOS12_IPCAAB12,1996-09-01T00:00:00-03:00,1,9,1996,-0.58
1996-10-01,PRECOS12_IPCAAB12,1996-10-01T00:00:00-03:00,1,10,1996,0.11
1996-11-01,PRECOS12_IPCAAB12,1996-11-01T00:00:00-03:00,1,11,1996,-0.37
1996-12-01,PRECOS12_IPCAAB12,1996-12-01T00:00:00-02:00,1,12,1996,-0.48
1997-01-01,PRECOS12_IPCAAB12,1997-01-01T00:00:00-02:00,1,1,1997,0.97
1997-02-01,PRECOS12_IPCAAB12,1997-02-01T00:00:00-02:00,1,2,1997,0.72
1997-03-01,PRECOS12_IPCAAB12,1997-03-01T00:00:00-03:00,1,3,1997,1.22
1997-04-01,PRECOS12_IPCAAB12,1997-04-01T00:00:00-03:00,1,4,1997,-0.16
1997-05-01,PRECOS12_IPCAAB12,1997-05-01T00:00:00-03:00,1,5,1997,-0.92
1997-06-01,PRECOS12_IPCAAB12,1997-06-01T00:00:00-03:00,1,6,1997,-0.34
1997-07-01,PRECOS12_IPCAAB12,1997-07-01T00:00:00-03:00,1,7,1997,-0.52
1997-08-01,PRECOS12_IPCAAB12,1997-08-01T00:00:00-03:00,1,8,1997,-0.57
1997-09-01,PRECOS12_IPCAAB12,1997-09-01T00:00:00-03:00,1,9,1997,-0.21
1997-10-01,PRECOS12_IPCAAB12,1997-10-01T00:00:00-03:00,1,10,1997,0.27
1997-11-01,PRECOS12_IPCAAB12,1997-11-01T00:00:00-03:00,1,11,1997,0.17
1997-12-01,PRECOS12_IPCAAB12,1997-12-01T00:00:00-02:00,1,12,1997,0.59
1998-01-01,PRECOS12_IPCAAB12,1998-01-01T00:00:00-02:00,1,1,1998,1.24
1998-02-01,PRECOS12_IPCAAB12,1998-02-01T00:00:00-02:00,1,2,1998,0.62
1998-03-01,PRECOS12_IPCAAB12,1998-03-01T00:00:00-03:00,1,3,1998,0.79
1998-04-01,PRECOS12_IPCAAB12,1998-04-01T00:00:00-03:00,1,4,1998,0.85
1998-05-01,PRECOS12_IPCAAB12,1998-05-01T00:00:00-03:00,1,5,1998,1.38
1998-06-01,PRECOS12_IPCAAB12,1998-06-01T00:00:00-03:00,1,6,1998,0.13
1998-07-01,PRECOS12_IPCAAB12,1998-07-01T00:00:00-03:00,1,7,1998,-0.99
1998-08-01,PRECOS12_IPCAAB12,1998-08-01T00:00:00-03:00,1,8,1998,-1.2
1998-09-01,PRECOS12_IPCAAB12,1998-09-01T00:00:00-03:00,1,9,1998,-0.47
1998-10-01,PRECOS12_IPCAAB12,1998-10-01T00:00:00-03:00,1,10,1998,-0.02
1998-11-01,PRECOS12_IPCAAB12,1998-11-01T00:00:00-03:00,1,11,1998,-0.46
1998-12-01,PRECOS12_IPCAAB12,1998-12-01T00:00:00-02:00,1,12,1998,0.1
1999-01-01,PRECOS12_IPCAAB12,1999-01-01T00:00:00-02:00,1,1,1999,0.9
1999-02-01,PRECOS12_IPCAAB12,1999-02-01T00:00:00-02:00,1,2,1999,2.71
1999-03-01,PRECOS12_IPCAAB12,1999-03-01T00:00:00-03:00,1,3,1999,2.01
1999-04-01,PRECOS12_IPCAAB12,1999-04-01T00:00:00-03:00,1,4,1999,-0.23
1999-05-01,PRECOS12_IPCAAB12,1999-05-01T00:00:00-03:00,1,5,1999,-0.95
1999-06-01,PRECOS12_IPCAAB12,1999-06-01T00:00:00-03:00,1,6,1999,-1.28
1999-07-01,PRECOS12_IPCAAB12,1999-07-01T00:00:00-03:00,1,7,1999,-0.24
1999-08-01,PRECOS12_IPCAAB12,1999-08-01T00:00:00-03:00,1,8,1999,0.13
1999-09-01,PRECOS12_IPCAAB12,1999-09-01T00:00:00-03:00,1,9,1999,0.34
1999-10-01,PRECOS12_IPCAAB12,1999-10-01T00:00:00-03:00,1,10,1999,1.77
1999-11-01,PRECOS12_IPCAAB12,1999-11-01T00:00:00-03:00,1,11,1999,1.35
1999-12-01,PRECOS12_IPCAAB12,1999-12-01T00:00:00-02:00,1,12,1999,1.41
2000-01-01,PRECOS12_IPCAAB12,2000-01-01T00:00:00-02:00,1,1,2000,0.84
2000-02-01,PRECOS12_IPCAAB12,2000-02-01T00:00:00-02:00,1,2,2000,-0.25
2000-03-01,PRECOS12_IPCAAB12,2000-03-01T00:00:00-03:00,1,3,2000,-0.46
2000-04-01,PRECOS12_IPCAAB12,2000-04-01T00:00:00-03:00,1,4,2000,-0.36
2000-05-01,PRECOS12_IPCAAB12,2000-05-01T00:00:00-03:00,1,5,2000,-0.67
2000-06-01,PRECOS12_IPCAAB12,2000-06-01T00:00:00-03:00,1,6,2000,0.11
2000-07-01,PRECOS12_IPCAAB12,2000-07-01T00:00:00-03:00,1,7,2000,1.78
2000-08-01,PRECOS12_IPCAAB12,2000-08-01T00:00:00-03:00,1,8,2000,2.07
2000-09-01,PRECOS12_IPCAAB12,2000-09-01T00:00:00-03:00,1,9,2000,0.53
2000-10-01,PRECOS12_IPCAAB12,2000-10-01T00:00:00-03:00,1,10,2000,0.16
